Get all clients,2019-05-18T14:26:37.996
Get all clients,2019-05-18T14:26:51.421
Get sorted clients by name,2019-05-18T14:26:55.623
Get all clients,2019-05-18T14:27:10.959
Get all locations,2019-05-18T14:38:05.232
Get all locations,2019-05-18T14:42:58.467
Get locations by city,2019-05-18T14:43:02.552
Get locations by city,2019-05-18T14:43:06.528
Get all locations,2019-05-18T14:43:08.348
Get all clients,2019-05-18T14:43:11.415
Get sorted clients by name,2019-05-18T14:43:12.404
Get clients by city,2019-05-18T14:43:15.971
